PN,PNnoun,CorpName
0154EW3,PROBE,GOODRICH
020-016-003,"TRANSMITTER, FUEL QTY",PARKER
020-016-010,"TRANSMITTER, FUEL QTY",PARKER
020-016-020,"TRANSMITTER, FUEL QTY",PARKER
020-016-041,"TRANSMITTER, FUEL QTY",PARKER
020-016-062,"TRANSMITTER, FUEL QTY",PARKER
020-016-087,"TRANSMITTER, FUEL QTY",PARKER
020-016-103,"TRANSMITTER, FUEL QTY",PARKER
020-016-108,"TRANSMITTER, FUEL QTY",PARKER
020-016-114,"TRANSMITTER, FUEL QTY",PARKER
0200-xxx,"UNIT, TANK",GOODRICH
30-0909-103,"LIGHT, TAIL POSITION STROBE",HONEYWELL
30-100-15,"CLOCK, ELECTRONIC CHRONOMETER",HONEYWELL.
30-1627-1,FLOODLIGHT,HONEYWELL
30-1637-1,"LIGHT, WING ILLUMINATION",HONEYWELL
30-1637-6,"LIGHT, WING ILLUMINATION",HONEYWELL
30-1742-7,"LIGHT, EMERGENCY EGRESS",HONEYWELL
30-1768-2,"LIGHT, AFT GROUND",HONEYWELL.
30-1770-3,"LIGHT,FORWARD GROUND ILL./SLIDE",HONEYWELL.
30-1953-5,"LIGHT, NAV/ANTI-COLLISION TAIL POST.",HONEYWELL.
30-2041-4,"LIGHT, FORWARD DOOR SLIDE GROUND ILLUMINATION",HONEYWELL
30-2044-2,"LIGHT, ASSY",HONEYWELL
30-2110-3,"LIGHT, AIRCRAFT NAV ANTICOLLISION STROBE",HONEYWELL
30-2529-2,"LIGHT, EMERGENCY OVERWING ESCAPE",HONEYWELL
30-2671-6,"FLOODLIGHT, ENGINE NACELLE",HONEYWELL
30-2676-1,"LIGHT, ANTICOLLISION FLASHTUBE NAV.",HONEYWELL
30-2676-1,"LIGHT, ANTICOLLISION FLASHTUBE NAV.",HONEYWELL
3567402-0201,"TRANSMITTER, OIL/FUEL PRESSURE",HONEYWELL
360-012-003,POWER SUPPLY,PARKER
45-0060-11,"LIGHT, RETRACTABLE LANDING",HONEYWELL.
45-0263-501,"LIGHT, RETRACTABLE LANDING",HONEYWELL
10-1005-251,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-60,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1007-7,"LIGHT, FLUORESCENT WINDOW",HONEYWELL
10-1070-102,"SIGN, INT/ILLUMINATED EXIT",HONEYWELL
10-1070-127,"SIGN, INT/ILLUMINATED EXIT",HONEYWELL
10-1071-106,"SIGN, INT. ILLUMINATED EXIT",HONEYWELL.
10-1072-104,"SIGN, INTERIOR ILL. EXIT",HONEYWELL
10-1113-3,"LIGHT, ASSY",HONEYWELL.
194550-2,"SEPARATOR, WATER",HONEYWELL
1954355-4-SB4,"CONTROL, AUTO THROTTLE",HONEYWELL
1B190-1,"TRANSFORMER, CONVERTER OUTPUT",HONEYWELL
331-0003-01,"VALVE, WASTE DRAIN",PARKER
4034242-913,"PANEL, FLIGHT GUIDANCE CONTROL",HONEYWELL
4034242-934,"PANEL, FLIGHT GUIDANCE CONTROL",HONEYWELL
4034937-915,SERVO,HONEYWELL.
4038930-903,"INDICATOR, HORIZONTAL SITUATION",HONEYWELL
4039891-903,"INDICATOR, MACH/AIRSPEED",HONEYWELL.
4041497-903,"INDICATOR, HSI",HONEYWELL
4050106-905,"CONTROLLER, ALTITUDE ALERT",HONEYWELL
4050270-903,"INDICATOR, HORIZON",HONEYWELL
4051601-940,"PANEL, MODE CONTROL",HONEYWELL
7014332-801,"CONTROLLER, BEZEL",HONEYWELL
7014332-911,"CONTROLLER, BEZEL",HONEYWELL
7014332-941,"CONTROLLER, BEZEL",HONEYWELL
7016986-111,"CONTROLLER, DISPLAY",HONEYWELL
7016986-125,"CONTROLLER, DISPLAY",HONEYWELL
7016986-208,"CONTROLLER, DISPLAY",HONEYWELL
7016986-214,"CONTROLLER, DISPLAY",HONEYWELL
7016986-220,"CONTROLLER, DISPLAY",HONEYWELL
7016986-229,"CONTROLLER, DISPLAY",HONEYWELL
7016986-401,"CONTROLLER, DISPLAY",HONEYWELL
7016986-624,"CONTROLLER, DISPLAY",HONEYWELL
7016986-713,"CONTROLLER, DISPLAY",HONEYWELL
7016986-726,"CONTROLLER, DISPLAY",HONEYWELL
0YE3100A09G01,"SWITCH, ASSY",JAMCO CORP
